Name,Link

"Vaart, Jan van der",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=6320

"Vaccaro, Pat",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=35049

"Vaccaro, Patrick Frank",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=35049

"Vaccaro, Patt",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=35049

"V�chal, Josef",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=24765

"Vacher, Sydney",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3248

"Vacquerie, Auguste",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=19004

"Vadder, Lodewijk de",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3249

"Vade, Jean-Joseph",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=7082

"Vaenius, Otto van",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=6260

"Vaga, Perino del",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=1777

"Vail, Eugene Lawrence",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=1945

"Vail, James",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=8155

"Vaillant, Bernard",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3250

"Vaillant, Wallerant",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=3251

"Valadier, Giuseppe",https://web.archive.org/web/20121007172907/http://www.nga.gov/cgi-bin/tsearch?artistid=11589

